,IC objective pessimistic
331,-0.01466801793331255
332,-0.0416209693809428
333,-0.021856747424971085
334,-0.018647823650729353
335,-0.032250687211488285
336,-0.030662122109842156
337,-0.02954147977193997
338,-0.03605353437771295
339,-0.02298501232617767
340,-0.02941935634354139
341,-0.02181170389523335
342,-0.038804923245231916
343,-0.023710885399328842
344,-0.02789779618205865
345,-0.0344712501344811
346,-0.017303855754308626
347,-0.025250832537478604
348,-0.013684893364201525
349,-0.028672139352922368
350,-0.022460381521930015
351,-0.029957222269663998
352,-0.020466920796067885
353,-0.017607966137263665
354,-0.03048727147633275
355,-0.02736131925037735
356,-0.022481862323303414
357,-0.03306202210436224
358,-0.027711988983498182
359,-0.03769606352334987
360,-0.01940525431244675
361,-0.020788669511393007
362,-0.0356183184229401
363,-0.018502212203546503
364,-0.02143786270967727
365,-0.03133903391807194
366,-0.030124880657913803
367,-0.025150386854390926
368,-0.022515357561874564
369,-0.02896669207608858
370,-0.02436017478043777
371,-0.016802107488708435
372,-0.019083365193884955
373,-0.03139219917492242
374,-0.0267374938448403
375,-0.017124983789044996
376,-0.037602643222041564
377,-0.02925635119018533
378,-0.021902415256836037
379,-0.0200325914836725
380,-0.028471115660800097
381,-0.015830138376779754
382,-0.01881217615086995
383,-0.030791977184556132
384,-0.01816061148522621
385,-0.01550573057574144
386,-0.014825629200861975
387,-0.024437776903492504
388,-0.021920128802665157
389,-0.030443022207168772
390,-0.016423133646499763
391,-0.029426926775703226
392,-0.022622390112968155
393,-0.033316555527634795
394,-0.029764425072769884
395,-0.028038313103501324
396,-0.03212295795692636
397,-0.028561894335129158
398,-0.020589654388567066
399,-0.027320806573381012
400,-0.02629763792876337
401,-0.01365193598838492
402,-0.025739453722674104
403,-0.03500225656652974
404,-0.02301356152444134
405,-0.03233825260142715
406,-0.02862008926040289
407,-0.028675432293377854
408,-0.026138837379515004
409,-0.030292015605261492
410,-0.023242396359443286
411,-0.023768277484753273
412,-0.02268376942852212
413,-0.02362095106150017
414,-0.02208480108395633
415,-0.020744139408863493
416,-0.02523517068370179
417,-0.026265123330506776
418,-0.02616741308173151
419,-0.025098079854511915
420,-0.019551534955704362
421,-0.01970284585874312
422,-0.022184744500469783
423,-0.01657208321136084
424,-0.01943178834739533
425,-0.02418688076136847
426,-0.016834232077048372
427,-0.029283693738675478
428,-0.02038440923057691
