,IC objective pessimistic
490,11.589849804255065
491,11.606943973659979
492,11.570532670998878
493,11.57054080893146
494,11.579118039484
495,11.607970934710792
496,11.617510600694963
497,11.598269024108792
498,11.579145042520667
499,11.573763117997682
500,11.541263275977379
501,8.418538961320616
502,11.636694685516145
503,11.596431604282941
504,11.667417284639242
505,11.585697684223035
506,11.570533658726516
507,11.58541463285401
508,11.570816545678584
509,11.577926717435826
510,11.604220047054515
511,11.576455595822184
512,11.613439790342875
513,8.335060569279731
514,11.570530069282634
515,11.588582316346345
516,11.653549291589556
517,11.639492067238821
518,11.608058627297261
519,11.6033307969456
520,11.561713037328095
521,11.570526812063846
522,11.632261900774038
523,11.561550426481203
524,11.642857631861272
525,11.600363259561268
526,11.52035980013175
527,11.610972742729707
528,11.570526815411835
529,7.69911059406329
530,11.575434262903833
531,11.571759991433003
532,11.570592713444464
533,11.572520199931342
534,11.581647056051388
535,11.611562185032186
536,11.577183019915338
537,11.6278868811471
538,11.646435537179748
539,11.641834138620203
540,11.545088632490586
541,11.589102761735438
542,7.677677035412137
543,11.591622549736842
544,7.667520237460097
545,7.727629207180364
546,11.575248001913083
547,11.615187074932136
548,7.7922558780176345
549,11.573047457403812
550,11.64469195506723
551,11.607292223687802
552,11.602553242854173
553,7.3848545217956545
554,11.59603137288595
555,11.603163915930175
556,7.685261190715144
557,11.58828590087138
558,11.61745646771853
559,11.570546136713492
560,11.572076995605043
561,11.571148041231597
562,11.5956953753535
563,11.585107810718357
564,11.596873142388006
565,11.624348124461791
566,11.575194961946943
567,11.570828481133562
568,11.607180293090428
569,11.571131990074793
570,11.254241940085688
571,11.571835050964163
572,11.530312903852343
573,7.492561250601079
574,11.547058744037463
575,11.570818616394883
576,7.710087845465808
577,11.59065856041443
578,11.58413552009851
579,11.592601954458793
580,11.571354639715137
581,11.567936111773912
582,11.586572203276992
583,11.571360161450382
584,11.632348920878485
585,7.449679305233979
586,11.584258548535628
587,11.622125859724132
588,11.57055132911352
589,11.584758535485062
590,11.584080978185721
591,11.570528603663247
592,11.57884815740322
593,11.581997270575176
594,7.618885504083061
595,11.625789798940799
596,11.571133741075105
597,11.622083205336452
598,11.606315220094022
599,11.59724240309555
600,11.59772201249639
601,11.585771805747111
602,11.570608820003208
603,11.583816649471785
604,11.571971503291802
605,7.241815008809721
606,11.570526904455708
607,11.57356963432272
608,11.570541657134157
609,7.689695612594626
610,11.642988915018325
611,11.599591758874023
612,11.58885952861776
613,11.593805391330706
614,7.322620592401166
615,11.570809723675136
616,7.71920566958806
617,11.59477805884134
618,11.60772062130877
619,11.573214886115146
620,11.573748791600787
621,11.608641442446116
622,11.607121650284922
623,11.555885411410694
624,11.582024259149042
625,11.586115790115151
626,7.55629604300814
627,11.602261548645414
628,11.620879583172842
629,11.602791654457622
630,11.613607170436378
631,11.589265872356371
632,11.578537458986633
633,11.57120261069227
634,11.606478510797698
635,7.692789381875581
636,11.597659643978284
637,11.652208897543748
638,11.625626087155991
639,11.589564804004382
640,11.57072435783469
641,11.616857450052008
642,11.579967388692172
643,11.57201377693512
644,7.650125885589045
645,11.573535335813995
646,7.736241261930462
647,11.59904438550593
648,11.571106859012358
649,11.60685516002736
650,11.608190563368952
651,11.581680139271032
652,11.619156716672483
653,11.601393379541415
654,11.59169071207205
655,11.570717851531963
656,11.584146688281743
657,11.571354090433271
658,11.570526767208325
659,11.579322344854738
660,11.641264398245717
661,11.594728926024278
662,7.503941457898763
663,11.610559928994538
664,11.620464335479854
665,11.625625639037743
666,11.57055116416481
667,11.583876083392477
668,11.571729781054133
669,11.574328164557215
670,11.570526821797342
671,11.571233471159745
672,11.586935727561542
673,11.570844437290003
674,11.597547157325721
675,11.594443593312977
676,11.57052681420727
677,11.585016990474315
678,11.593304857328855
679,11.585020534995026
680,11.620720565441328
681,11.599877245752108
682,7.409156214540287
683,11.573503357917897
684,11.571042766730004
685,11.46870903721979
686,11.571415340979788
687,11.589363758290618
688,11.580761485781084
689,7.231665752371017
690,11.585586324704005
691,11.612730224734895
692,11.589289410441602
693,11.571609159948032
694,11.60819206807183
695,11.589189066436639
696,11.59510930721863
697,11.57063130512653
698,11.494681160759368
699,11.57429763185926
700,11.582638630861656
701,11.570526800973251
702,11.58410829683086
703,11.589745111973954
704,11.570678145055972
705,11.584325793278055
706,11.588992034124777
707,11.610932993118277
708,11.606095342672898
709,11.576008607508232
710,11.461142260338647
711,11.58319808704061
712,11.59080914953163
713,11.585271267938785
714,11.581071481159801
715,11.570608208167908
716,7.706163422839677
717,11.607649464643606
718,11.572641736186975
719,11.5705268030687
720,11.57150869313441
721,11.594442133252008
722,11.58029934745429
723,11.57086735985597
724,11.615621299195025
725,11.6100799407554
726,11.60921298413421
727,11.609513061253526
728,8.461593936382403
729,11.594008367402408
730,11.58512229928493
731,7.415591203082966
732,11.572326549001497
733,11.570555382846466
734,11.616789240245234
735,11.599758796326185
736,7.69338434444117
737,11.619135909116553
738,7.481459642661121
739,11.635633090756764
740,11.615733055410463
741,11.572384422511625
742,11.638645165877932
743,11.630908405142861
744,11.583707474974618
745,11.581712788876352
746,11.578649454021829
747,11.570604555156107
748,7.145366623591023
749,11.58998758522275
750,11.595941380795635
751,11.572986412843157
752,11.573708528210739
753,11.59571832263203
754,7.662944494295166
755,11.57071354819471
756,11.613650701255095
757,11.570552384992807
758,8.37621522132118
759,11.593722780375458
760,11.58156421105296
761,11.617112576241782
762,11.572098651577683
763,11.639787754128372
764,11.594942875225058
765,11.570636280432502
766,11.578069328753564
767,11.585357352977102
768,11.581536480200624
769,11.5969589839014
770,11.575572144167694
771,11.57621785254458
772,11.603359792060866
773,11.574391757456446
774,11.61898661298101
775,11.579224998725078
776,11.570600383257025
777,11.601559142070718
778,11.586221991689039
779,8.346762240105408
780,11.589694369712868
781,11.62480466901173
782,11.586402144010881
783,11.596313044454227
784,11.665752868131317
785,7.751301287348519
786,11.601845083314128
787,11.574895809209
788,6.794482639616238
789,11.593376035724773
790,11.577315900177108
791,7.662720381793707
792,11.59095673659215
793,11.570526781158751
794,11.57769777572981
795,11.570542833487416
796,11.604846854735442
797,11.589201109928043
798,11.571438232592364
799,11.577465304620993
800,7.719293518320031
801,11.570959673822367
802,11.5720342410278
803,11.570770529937063
804,11.604908065551374
805,11.56555879420196
806,11.501241488862505
807,11.607474467982806
808,8.356637935596464
809,11.650223321073442
810,11.570680512589231
811,7.7580185695421
812,7.773040662159603
813,11.588019448359416
814,11.603108019277059
815,11.628520591177598
816,11.621722681490835
817,7.783130343909472
818,11.57122600096306
819,11.572310860474532
820,11.604988722270496
821,11.598072212964833
822,11.589609113507311
823,11.596681168980377
824,11.58668334950784
825,11.572080286378988
826,11.610510900760875
827,11.57063941383031
828,11.609372762233965
829,7.73000155866044
830,11.576965430088347
831,11.571139929045332
832,11.589931380901065
833,7.21023664723363
834,11.598300222889199
835,7.713117032755768
836,11.59541956829524
837,11.597539753278122
838,11.643664631424503
839,11.58998364995648
840,11.60454300141436
841,7.511368475691068
842,11.570532830845496
843,8.482205448947873
844,7.231137119068882
845,7.333087012912468
846,11.413555183549695
847,11.597210433401248
848,7.743081599870545
849,11.621695539836978
850,11.571259034084122
851,11.554298562433564
852,11.5706122558365
853,11.575220726393805
854,11.572865098056692
855,7.185547537014967
856,11.570658584113676
857,11.575836021482727
858,11.607442614818783
859,11.572107189964193
860,11.603207041114665
861,11.6061319783322
862,11.5709385775478
863,11.57159564160468
864,11.574497065933766
865,11.570543050563007
866,11.572251294164738
867,11.572210017991438
868,11.6314944443088
869,11.588468679739995
870,11.583289193568193
871,7.480834692603318
872,11.58205070348582
873,11.599519300650517
874,11.570882397892468
875,11.62963106582338
876,11.581371334724437
877,11.580495574856345
878,11.619198435485186
879,7.461123439889963
880,11.590690964289298
881,11.61568959303261
882,8.349778043492496
883,11.626675314611484
884,11.570526779370285
885,8.369256255860094
886,11.583659204880039
887,11.61230049383872
888,11.629829601728924
889,11.570598904862685
890,11.586830685285529
891,11.570886663993017
892,7.440724888331578
893,11.59640760506436
894,11.592642319603318
895,11.590525474617284
896,11.584194645248603
897,11.570565849641813
898,7.283822669507715
899,11.616631405297055
900,7.536097281321337
901,11.570526951068686
902,11.595728829692973
903,11.598867105992715
904,11.600905690372063
905,11.454304769399293
906,11.592595535718514
907,11.57294245591418
908,11.5706888239458
909,11.570551508246686
910,11.595772360213466
911,11.610511937300013
912,11.57266458304719
913,11.570526813833814
914,7.635535820314229
915,11.570527125269805
916,11.571785800060107
917,11.572014602041738
918,11.596709579566125
919,11.570567437678728
920,11.584972253199668
921,11.571170659088693
922,11.584773355674628
923,11.571119232536056
924,11.606018524188396
925,11.572697815449914
926,11.59246393232252
927,11.576759240640476
928,11.636361207298847
929,11.570734799215847
930,11.607307832142597
931,7.704287754590112
932,11.590034951150813
933,11.413911485629903
934,11.604225961747675
935,11.572224987911452
936,11.605673823098975
937,11.539960732170844
938,11.619228666387583
939,11.570843751020748
940,11.599178749526759
941,7.632822724369071
942,11.597746387635501
943,11.577896449003669
944,11.468582076362445
945,11.570527469540355
946,11.592394993738601
947,11.643560724089513
948,6.747256880667911
949,11.616277815590864
950,11.599268736036834
951,11.586085079034147
952,11.616217500348068
953,11.57605849560957
954,11.571276428452276
955,11.616293778507826
956,11.573681784080993
957,11.600929578514949
958,11.50578768989348
959,11.616904988648697
960,11.57473556401123
961,11.570665858204801
962,7.266723316973159
963,11.570546685375815
964,11.593570712200611
965,11.613557734336418
966,11.603341727338131
967,11.60092730687308
968,11.61708752452505
969,11.572885350769461
970,11.59839108740155
971,11.622584422939683
972,11.596267034145429
973,11.570526825055852
974,11.578976766674275
975,11.604206962683108
976,11.577231298696526
977,7.176489681416896
978,11.618767322320588
979,11.586286341157727
980,11.619852116124612
981,11.586816674067293
982,11.58408200772018
983,7.746832531610018
984,7.702841980576061
985,7.724857594596399
986,11.571368397210154
987,11.57122281738412
988,11.640933072854073
989,11.597895243587795
990,11.633043624611826
991,11.584856079802513
992,11.581558341749998
993,11.574311181293282
994,11.570735986461056
995,11.594391611329838
996,11.579145079627473
997,11.623462161262896
998,11.615037580519095
999,11.572713528148517
1000,11.616518334479988
1001,11.572705127976251
1002,11.63113020845584
1003,11.262823099296764
1004,11.604393436981393
1005,11.630455202549719
1006,11.570526693546768
1007,11.595869533379513
1008,11.589340663564078
1009,7.500526395739021
1010,11.604075142150606
1011,11.592393432815852
1012,7.38464805812919
1013,11.572343399190325
1014,11.648807635619555
1015,11.583873684403775
1016,11.623848489914913
1017,11.607809537106828
1018,11.577440261021657
1019,11.616261418214608
1020,11.60572949029572
1021,11.598954379389637
1022,7.738106135419355
1023,11.57052681813524
1024,11.574911563773023
1025,8.380165282327736
1026,11.607961736188047
1027,11.600212427710137
1028,11.595077491606402
1029,11.591102997487818
1030,11.614597701931249
1031,11.587429374002612
1032,11.587565354600498
1033,11.590597031621112
1034,11.579386980748446
1035,7.748201653841659
1036,11.574535186423063
1037,11.577321596386199
1038,11.600383064775757
1039,11.585979779411234
1040,11.592337567434123
1041,11.57460850162848
1042,11.604194439807053
1043,7.112410925472496
1044,11.53266845359213
1045,11.577560059951859
1046,11.619492554736029
1047,11.583428476291541
1048,11.592049652121254
1049,11.599249817593229
1050,11.570664186553088
1051,11.587884544070103
1052,11.57052681267163
1053,11.570883501100592
1054,7.195196632829123
1055,11.607619970561995
1056,11.57072083537599
1057,11.5706311700557
1058,11.575302592618408
1059,11.588640663199504
1060,11.529311024342682
1061,11.522102045586774
1062,11.5823575690452
1063,11.5942593984223
1064,11.597599136052136
1065,7.408930385066704
1066,11.573029714874519
1067,11.621438729676592
1068,7.722622743323474
1069,11.579045975836724
1070,11.595746824355965
1071,11.570527048391924
1072,11.571264239067112
1073,11.57252559493507
1074,11.57052681489057
1075,11.579041049613908
1076,7.65451638468905
1077,11.570583071227093
1078,11.576456040874113
1079,11.585648303943048
1080,11.57828270575441
1081,11.578498012743287
1082,7.225464448940614
