,IC objective incomplete uniform
282,-0.011237942041165594
283,-1.829434382714372e-08
284,-0.011865848013143906
285,-0.007729429658337747
286,-0.0029689068523462685
287,-3.3616937362275755e-07
288,-0.020119560048600587
289,-0.014437843863337135
290,-0.012133783843083609
291,-1.1945365580230861e-08
292,-4.327041115723722e-09
293,-0.009096230496613272
294,-0.0030961649280308707
295,-0.001290732667301699
296,-5.830723437406404e-09
297,-0.006481579404612856
298,-0.029413942256030882
299,-3.156348812716894e-08
300,-0.029734313067299782
301,-0.005835195839876922
302,-0.005527128584214859
303,-0.013286883999269248
304,-0.015435560074842774
305,-0.016978069980007345
306,-0.017280013800540114
307,-0.025201640087583257
308,-0.0008519782892793159
309,-0.01578981808179355
310,-3.7492103242415707e-08
311,-5.989530898408204e-08
312,-1.5139764071011384e-08
313,-9.839937405547559e-09
314,-0.0042542205090649364
315,-0.0023965383419898077
316,-6.419630316660425e-08
317,-2.4092830805962975e-08
318,-0.0033523462461782063
319,-3.723841092847218e-08
320,-3.427943984321223e-09
321,-0.018187534679112664
322,-0.020752984954797337
323,-2.4722176117453014e-08
324,-0.013782015822492314
325,-6.87989864180055e-09
326,-7.330076642709177e-07
327,-0.015294470873111601
328,-0.012976070831516646
329,-0.012279484780502494
330,-2.3901084676491675e-08
331,-0.00762799563084875
332,-0.005050764802954609
333,-8.969047293116608e-07
334,-0.013182960447625094
335,-0.009734320943991166
336,-0.005460362543031041
337,-0.008375586213813456
338,-0.017023571112976282
339,-0.003965331969094734
340,-0.009849122734006958
341,-8.330861581239281e-09
342,-0.001048107680701454
343,-7.656211939363321e-07
344,-8.703323120776796e-09
345,-0.0011567601071569742
346,-0.023674773230339712
347,-0.00599838278500019
348,-0.01371963911411517
349,-0.00022286824984273548
350,-0.011563751094717935
351,-0.023169410454065408
352,-0.008722958443786231
353,-0.019522801064073003
354,-0.012594166097540804
355,-0.020862616216807055
356,-0.0123573190515969
357,-0.025305598626050512
358,-1.936831023580022e-09
359,-0.010251797714570908
360,-0.008251744252765144
361,-2.7400996312025637e-07
362,-9.944316132751511e-09
363,-7.647761581437979e-08
364,-0.008001145426799099
365,-0.02231297216570175
366,-0.011719325712776217
