,IC objective incomplete normal
226,108.79377357168171
227,91.6266335153796
228,98.33247574922815
229,105.47571920496311
230,50.52021150792522
231,113.38013710732108
232,59.81975065721295
233,105.51741312876027
234,68.24675860888556
235,73.19687878543154
236,28.157292181573442
237,96.95031421173015
238,117.53149079079652
239,91.13144472628338
240,63.36632552377138
241,56.38676447327472
242,72.16704581024001
243,102.87316726174753
244,61.405078035727705
245,21.16609279370687
246,114.22853739180049
247,26.598851585104114
248,43.565258763080735
249,64.07891543941275
250,53.10157795426187
251,101.915239299058
252,143.0459394739881
253,68.94689647966658
254,77.6962499339659
255,94.78514505967539
256,67.05475023828048
257,61.44693897163626
258,81.92511368247682
259,105.18800070346755
260,51.869809343535806
261,57.43093392807713
262,104.64371746867663
263,115.88768192270801
264,86.56511154662506
265,79.89602722162351
266,71.71049633909189
267,91.36510907946591
268,93.54586512338825
269,78.57797547903145
270,121.02807399246738
271,83.44417108570924
272,94.99316631356135
273,103.16422379889299
274,35.50875752361237
275,111.9406616288517
276,79.41863181051747
277,79.83783730498482
278,70.92204341321835
279,78.53531667110965
280,68.71374763429122
281,114.5248000893774
282,106.45209333114063
283,91.41571204936089
284,102.97514812402125
285,28.135978921255024
286,69.40460484263323
287,70.06122464681758
288,104.86491241685957
289,39.61143231448741
290,63.724082244720165
291,90.21479568958901
292,39.79084844366869
293,111.19626394229131
294,117.11495205290443
295,48.78097037836197
296,83.07510118742353
297,121.65873298676424
298,78.4477540812116
299,47.634957727508386
300,92.15285932843007
301,101.69269802973452
302,49.94865204124576
303,82.1849988053294
304,69.01018846123934
305,66.42865593191863
306,108.7432419110559
307,89.9113578276487
308,126.26139674504527
309,29.05641490422655
310,58.216688949286606
311,86.57196107540236
312,99.47530932912238
313,85.41575524241877
314,99.10961927288061
315,29.79907637718642
316,126.62247848102393
317,48.347809573649585
318,91.47081745023821
319,23.878444073898045
320,117.89553341908278
321,109.78960955929905
322,85.99872093926702
323,81.79442081866449
324,69.29018735134723
325,78.2082708823582
326,95.05052586882745
327,81.80482619677439
328,88.923446939957
329,109.48838388223562
330,106.39836599092173
331,146.20955478640744
332,71.20106803187271
333,115.7551666214414
334,106.11678568665386
335,98.56018412201242
336,55.41463363430636
337,98.0766471298764
338,103.99817094048855
339,78.82569250483746
340,77.56413134086507
341,118.17008273689608
342,84.27474560854957
343,79.83350675900594
344,97.69121607926677
345,45.46434653000514
346,80.9000015672337
347,97.23015821293068
348,35.79204370540577
349,78.62505454917682
350,103.03909638564447
351,99.15893217042493
352,65.04535135479261
353,93.83331000308297
354,64.3892540094621
355,103.34397966510382
356,59.85102216160428
357,69.34442722277652
358,107.96931620872029
359,52.001933609206546
360,100.02978989354567
361,44.76489477832666
362,42.50400925250238
363,143.13358303178453
364,132.65673470655676
365,95.54883895941397
366,51.26682083658264
367,106.81312274311858
368,94.71259819039825
369,79.93989472548567
370,47.09084415568433
371,0.4346339654258714
372,93.42023236140123
373,93.6453056653971
374,88.83325556090497
375,97.23730975496227
376,8.701176922397922
377,91.0306357801671
378,26.71749407377784
379,81.57124252528791
380,36.60405467915634
381,72.65031651055264
382,94.47538693680562
383,116.06657979145793
384,72.99206257816238
385,74.72142349464025
386,106.82768853584618
387,85.47674051103009
388,83.1494820764123
389,73.58594817006103
390,84.69165331378721
391,38.22382078552496
392,97.04390742947186
393,51.413763969613065
394,100.02556480861698
395,68.85705040763662
396,104.96233161063698
397,116.90804424603348
398,96.90509329758478
399,67.14703393485004
400,87.02385625060558
401,74.43811541302725
402,81.45247477861277
403,45.278659030711204
404,126.42418289067588
405,121.51617308448922
406,37.58214096494588
407,58.614912586268574
408,61.311042451454895
409,123.60640250184957
410,52.74017997741742
411,89.97093350338716
412,110.1879857450867
413,53.784618893317784
414,38.50464070693092
415,83.02330316654547
416,116.99942770154382
417,81.03440109657278
418,104.05643854652688
419,106.50922677243565
420,21.762432960662565
421,97.38683638490441
422,135.93039426030836
423,81.20996914928658
424,136.76095307492645
425,130.6842176517804
426,49.58544015396306
427,73.3116862907411
428,94.9767002893446
429,38.43536035532786
430,112.80621095430287
431,43.50313273352447
432,81.86553158751454
433,112.8688304077663
434,79.78214469024421
435,103.86765513574647
436,37.562554647302846
437,106.31726852981525
438,97.42231801732052
439,81.70267468137654
440,133.73626238063378
441,94.28566736484953
442,98.0793697389482
443,101.1733734785419
444,48.254915737286765
445,103.15608408155343
446,51.362675352703164
447,122.2872407035457
448,42.65224804888925
449,101.11370459042871
450,106.26350017171954
451,63.487326389077424
452,87.7070651515138
453,91.17280037321726
454,67.42312817361827
455,65.90152285153496
456,85.3166259277499
457,109.38117026258035
458,82.05131855102796
459,112.61176304106289
460,127.52381947238463
461,104.55924589905918
462,101.62040268045214
463,99.77793904248013
464,36.117751991888426
465,67.25723465959399
466,64.26972181021793
467,118.28939996430232
468,59.39951533410774
469,92.9796855145402
470,109.26505328373896
471,113.68994470652696
472,98.29788224661992
473,94.80295257154876
474,59.838217969417244
475,103.89939355306124
476,83.60661246352933
477,111.53904170946373
478,102.50357441219934
479,70.75469634693228
480,108.90650648622996
481,110.85453637301885
482,82.64375716132558
483,92.58379330194285
484,89.57942395158824
485,79.12665065458106
486,86.70987654784804
487,79.97188170947766
488,32.84306316996451
489,61.62517272176566
490,76.99038882701409
491,83.16057801815964
492,56.00883594743051
493,76.68584790416435
494,112.3384159197209
495,46.15119239368682
496,96.13522863573976
497,95.98455629371435
498,80.53511133740835
499,89.70479887956722
500,96.42675033531592
501,116.74066379469689
502,55.584498014840364
503,117.03276295666726
504,116.74716562177538
505,77.33832713489473
506,61.88335354685771
507,129.1133865704988
508,66.8337834933535
509,81.97098309569938
510,85.56635440671833
511,74.96308137608511
512,53.1738458913083
513,66.8165443571905
514,78.89390236454011
515,92.22379233746683
516,22.18654406674368
517,105.77079316688977
518,118.09959242657622
519,67.09533523678304
520,124.57046285560386
521,93.60550298537892
522,114.53566141876277
523,79.31275856517948
524,122.11738107254926
525,101.56029122448678
526,99.97842700704214
527,98.08220379241435
528,45.75317928061321
529,100.59868540224898
530,96.2276587043154
531,62.99587556373868
532,81.1267281566579
533,41.61560225167174
534,51.63284739592068
535,73.36822150224079
536,78.89171796329838
537,108.0744254799827
538,79.53841066445939
539,64.60138529541295
540,127.04864088827586
541,62.897949879346754
542,108.31624017726239
543,103.34117744323889
544,84.1416804436867
545,96.18528229056079
546,115.64338554987881
547,80.67860826520682
548,74.22705809631259
549,103.37586180668545
550,56.771744353372746
551,57.193743366739014
552,112.62962030171364
553,112.33835831798972
554,117.1186797547184
555,96.2321940492687
556,82.55224327554906
557,84.66342962028622
558,121.82353460580511
559,113.33313297565628
560,133.7603659818266
561,113.4219288376258
562,108.56707798574946
563,96.5406580598046
564,54.49926593725709
565,26.55593959730331
566,87.94510800820181
567,80.49405423580636
568,113.00487191359738
569,52.747641917477765
570,109.32580615264983
571,77.58381078561358
572,129.0849859709721
573,96.16686683140519
574,108.51993872699981
575,65.61638305000808
576,94.03339713803369
577,105.92089088593305
578,78.23834802279139
579,80.07835925972502
580,103.29309541823238
581,122.75590713108119
582,78.07461905156345
583,87.05864974253548
584,92.68202693506704
585,73.8253812823634
586,62.47213652744305
587,33.052107716725914
588,62.80208307778561
589,95.18504330848147
590,44.965847423405954
591,63.31715204854099
592,91.5564541116632
593,117.03666018262817
594,76.16089119103609
595,96.59839624479704
596,91.25330556751645
597,116.83142803509882
598,115.18991136668505
599,66.14066810121207
600,70.62345523374006
601,94.09136987563001
602,90.54386158415208
603,103.01584999315608
604,88.45213348052685
605,80.9991254712648
606,40.00543657596273
607,86.89216646729133
608,109.8186211718931
609,139.57034996070087
610,78.9662376684871
611,87.8692600043089
612,121.77473243100164
613,89.51297728057156
614,87.90025215053262
615,78.66985126284467
616,71.08607954097242
617,106.8846496678815
618,89.53515615939749
619,75.68533770261253
620,80.81422723527012
621,69.35771790355373
622,71.86287967851689
623,79.42583883905564
624,103.60323363169418
625,104.0354699343038
626,80.6274013848825
627,113.65379562616947
628,53.571456594601536
629,79.87938972729283
630,86.5303118019949
631,85.0437202788919
632,89.9343273599575
633,122.61454923967345
634,100.54811417539268
635,58.078970826819486
636,81.2763690232975
637,48.37446670647183
638,26.418932036841998
639,42.483571056676276
640,123.20939850146294
641,66.52332799576523
642,31.84820121020951
643,51.417215876556924
644,59.87337318768572
645,63.85403882870406
646,71.2191816912113
647,50.52380034999497
648,112.21532116410005
649,94.65422310686438
650,130.50988552052786
651,80.4167724660813
652,111.32524934401515
653,138.2550089352393
654,119.39852286099716
655,53.64326490589327
656,123.02221057561478
657,101.09093513937447
658,93.01219409203154
659,92.64916964299255
660,102.42962971531028
661,86.80804611271667
662,71.62972413913299
663,63.185217982829606
664,66.86057401951601
665,72.7721297641412
666,99.98799286859095
667,57.694839065338634
668,100.58691338630905
669,76.47372758470728
670,90.47457938612051
671,122.20321512076764
672,75.92579646109166
673,68.0133890395294
674,82.21902775349457
675,79.4442245329736
676,112.93708503089874
677,109.44540476300251
678,103.91970395453232
679,80.71466939906063
680,127.94300468798825
681,121.80707897336161
682,90.99040583584916
683,124.71494756476223
684,118.50629984372229
685,83.78789017522234
686,96.77118141386629
687,80.24616092726761
688,46.320404637090405
689,87.48225420216394
690,113.53401131131058
691,61.7008900155948
692,77.95820709014184
693,118.27929570281611
694,52.78232038114224
695,114.14623723922801
696,90.18490288853843
697,86.55480925181504
698,85.32174460701653
699,104.27941085884335
700,137.4133719043085
701,86.94580848900539
702,91.13930824397887
703,75.394089093256
704,66.38884374402559
705,122.34839870933953
706,74.10537695750779
707,143.42156349637224
708,80.30644035463808
709,71.68232772319261
710,68.76855894689909
711,97.17070982123386
712,29.91152789322683
713,94.76635263870494
714,76.07096364810965
715,116.65044206837219
716,29.22014166152454
717,102.8283312016447
718,76.44836254943456
719,61.613640623282635
720,108.66686127529836
721,103.83818681542148
722,109.37991876414132
723,107.71557236077115
724,101.958967218026
725,92.18296513583226
726,64.26308239775717
727,92.36381450876566
728,86.38302381802303
729,95.33325726135202
730,93.06487485454981
731,71.16095207156741
732,128.3472569383158
733,96.4858279880723
734,113.87535958300482
735,46.80279760330625
736,76.45578383555508
737,67.26158803143352
738,89.10589779814272
739,69.97900943527151
740,72.15281982273598
741,104.18642609355899
742,58.225480290064546
743,64.0848140531084
744,95.18808464470193
745,76.9115081583653
746,122.27585568482233
747,69.49695298353794
748,52.077360577351165
749,114.96246171343121
750,84.61868810671294
751,96.7411373127828
752,78.01214558054178
753,33.73547225356475
754,84.55608862113903
755,114.22157346151002
756,76.17225886800091
757,31.69533162289943
758,87.38886586169114
759,100.84021960235751
760,99.73888995369038
761,117.21663201038199
762,126.28516519178902
763,54.057642559958765
764,86.19191788444158
765,81.17758080441183
766,91.53045813032503
767,91.81108577255006
768,137.49135983479383
769,11.450589113635568
770,89.14468835742764
771,92.49820920117219
772,72.03610491527915
773,65.59568009656991
774,13.74972246060515
775,81.58175836607411
776,49.226864735818005
777,117.04903400087132
778,77.39799183437412
779,81.03169624285194
780,90.92934311028277
781,87.73533377834711
782,91.62276981917799
783,95.82684101375324
784,110.42737254013873
785,49.37660756407892
