,IC objective incomplete beta
195,-0.01683571868786268
196,-0.011717756829539318
197,-0.007621784992811163
198,-0.0059268790074370635
199,-0.012984543462165283
200,-0.0050564248053409635
201,-3.9170955636328045e-08
202,-2.3088820047689562e-07
203,-0.0013627948421837566
204,-0.02725025971732809
205,-5.9526292783804353e-08
206,-0.007704430311947208
207,-0.006131560759939716
208,-0.00033158665410676016
209,-6.568156543055917e-08
210,-0.006484930786008033
211,-9.420330209640153e-08
212,-0.003087792187969488
213,-0.001981832309926881
214,-0.0009756361665897776
215,-4.56776854544008e-08
216,-0.007968309450425664
217,-0.012755945036658603
218,-0.0030208536461923
219,-0.0007673130952273978
220,-1.1102498294814792e-07
221,-0.002028739136871291
222,-2.674026024149374e-07
223,-0.0005055820696750032
224,-0.00222612011323096
225,-0.011386498848379776
226,-3.859252003009235e-08
227,-0.0002569321016162886
228,-2.794903766962756e-09
229,-0.01507147517709898
230,-2.259155043747852e-07
231,-0.007742198157691504
232,-0.011636485545713275
233,-0.013969702064191427
234,-0.008618485960194055
235,-0.023049325663953093
236,-8.166269898196207e-07
237,-1.8382495246022755e-08
238,-3.94425960751341e-06
239,-0.027074399081014337
240,-0.023230562923622203
241,-0.020382270896534334
242,-2.298083028214492e-08
243,-0.003545954092758245
244,-0.002742669825011663
245,-1.0271550008687984e-07
246,-0.0281608664808781
247,-0.014093699346293266
248,-0.026709249135108387
249,-1.0974064468989287e-06
250,-0.004693060431695535
251,-1.449235870152471e-07
252,-4.914519302840639e-07
253,-0.007260861852475113
254,-2.447662548263915e-08
255,-1.1030378680417325e-06
256,-5.952748055744896e-08
257,-0.010806323790787775
258,-0.030552297874288994
259,-8.80532923850258e-09
260,-1.1677784954816094e-08
261,-0.01174632423627498
262,-0.02307235654987962
263,-2.143458486401182e-08
264,-0.014290296465400809
265,-0.014059566697406923
266,-0.014368694143361406
267,-0.021426903272679654
268,-2.9285173637987634e-08
269,-0.002675402788234318
270,-2.382647902037464e-08
271,-1.0170424969453164e-07
272,-6.024296835888694e-08
273,-0.02974495188211077
274,-1.6136782468214625e-08
275,-0.001507517861531468
276,-4.2067445720355344e-07
277,-4.0307914484441044e-08
278,-0.0026472858226313555
279,-0.017848270032360607
280,-0.004407863793835293
281,-0.007076785040363834
282,-0.012663138718748147
283,-1.3924729211807957e-07
284,-1.6359228866883814e-07
285,-3.744620981169355e-08
286,-3.7806313686090154e-08
287,-0.016885164206871712
288,-0.024836794901919198
289,-0.015703314991651455
290,-8.06230479454088e-07
291,-0.025356415882342356
292,-0.015678867059567163
293,-0.02242388385339922
294,-0.019568233906519485
295,-0.009734304252610385
296,-5.815449528540339e-07
297,-0.008876842805366554
298,-0.022459382383850333
299,-0.008144064585271907
300,-0.007445089583530092
301,-0.026622781340263618
302,-3.714519446973891e-08
303,-0.007900375357827068
304,-0.011838026946844752
305,-0.003858633197802645
306,-0.013676951630568
307,-6.211734283603767e-08
308,-0.02513467699962317
309,-3.0236214950395864e-08
310,-0.004270469969048845
311,-0.02559590367174322
312,-2.592152477350085e-08
313,-0.02006509774285778
314,-0.007397047207275238
315,-0.0045289896609041515
316,-6.914995144218903e-08
317,-0.0017183451334742896
318,-1.6785854464133564e-07
319,-0.018515454433067065
320,-0.019184454858100202
321,-0.014647581819728092
322,-0.02140563586143875
323,-0.00663713186483696
324,-0.0030599476227158463
325,-0.025794968797048564
326,-0.027751957269651843
327,-0.007757136758034955
328,-0.0008990560454468835
329,-0.002277477052569995
330,-0.008273485851071294
331,-0.012019782868651309
332,-0.016532560987838528
333,-0.028984343119080453
334,-0.006502725047452634
335,-0.02076715479047698
336,-9.545344845447199e-08
337,-0.014760282783974297
338,-0.00833460058075331
339,-0.02213697033166638
340,-0.02027442094609888
341,-0.014300434309637814
342,-0.02330488577300664
343,-0.018993679432093652
344,-0.01124529799856076
345,-0.009843652707491303
346,-0.0009678620242268443
347,-0.003911702599379021
348,-0.0031124925397754723
349,-4.945594543254309e-09
350,-0.004002537480304359
351,-4.910739650309657e-07
352,-2.798650424042124e-08
353,-2.1488348995461864e-08
354,-0.007502344980185074
355,-0.011680787771111905
356,-0.019386344189898347
357,-0.00212501249960663
358,-1.6387100110299699e-07
359,-0.012748895069292845
360,-9.131171748269402e-08
361,-3.545283354113368e-08
362,-0.02142597787079001
363,-9.87103608389946e-09
364,-0.00787072851935201
365,-0.008528769286688902
366,-0.027451246847094383
367,-0.003991509258802301
368,-1.2399417090327755e-07
369,-0.01388942346440893
370,-0.0008264277325559298
371,-0.012790848927703848
372,-2.6273925677265045e-08
373,-4.9594908347947065e-09
374,-0.013679603965636363
375,-4.357592027561417e-08
376,-0.018252379484643158
377,-0.020705336569131358
378,-0.02088840255505788
379,-0.018279871147956137
380,-0.011207891111489348
381,-4.5807333428984964e-07
382,-0.015508201628871336
383,-0.029938176487867958
384,-1.545075329088905e-08
385,-3.0151639779946344e-07
386,-0.01765802707217648
387,-0.01478707121929822
388,-0.012798959321298434
389,-0.01913226257299085
390,-0.010085764637677517
391,-0.020985541446748388
392,-6.279417841068423e-08
393,-0.005358370056675816
394,-0.006274190865755126
395,-2.8245385698652762e-08
396,-0.02221828902003105
397,-0.019672909954288338
398,-0.027300141725711245
399,-0.0012646792710959657
400,-0.009447551450169556
401,-8.342418787848618e-07
402,-0.007653698253838906
403,-1.618518632953899e-08
404,-0.017021540919140894
405,-0.002144139598141245
