,IC objective only_IC
288,-1289.468350582995
289,-1289.468350582995
290,-1289.468350582995
291,-1289.468350582995
292,-1289.468350582995
293,-1289.468350582995
294,-1289.468350582995
295,-1289.468350582995
296,-1289.468350582995
297,-1289.468350582995
298,-1289.468350582995
299,-1289.468350582995
300,-1289.468350582995
301,-1289.468350582995
302,-1289.468350582995
303,-1289.468350582995
304,-1289.468350582995
305,-1289.468350582995
306,-1289.468350582995
307,-1289.468350582995
308,-1289.468350582995
309,-1289.468350582995
310,-1289.468350582995
311,-1289.468350582995
312,-1289.468350582995
313,-1289.468350582995
314,-1289.468350582995
315,-1289.468350582995
316,-1289.468350582995
317,-1289.468350582995
318,-1289.468350582995
319,-1289.468350582995
320,-1289.468350582995
321,-1289.468350582995
322,-1289.468350582995
323,-1289.468350582995
324,-1289.468350582995
325,-1289.468350582995
326,-1289.468350582995
327,-1289.468350582995
328,-1289.468350582995
329,-1289.468350582995
330,-1289.468350582995
331,-1289.468350582995
332,-1289.468350582995
333,-1289.468350582995
334,-1289.468350582995
335,-1289.468350582995
336,-1289.468350582995
337,-1289.468350582995
338,-1289.468350582995
339,-1289.468350582995
340,-1289.468350582995
341,-1289.468350582995
342,-1289.468350582995
343,-1289.468350582995
344,-1289.468350582995
345,-1289.468350582995
346,-1289.468350582995
347,-1289.468350582995
348,-1289.468350582995
349,-1289.468350582995
350,-1289.468350582995
351,-1289.468350582995
352,-1289.468350582995
353,-1289.468350582995
354,-1289.468350582995
355,-1289.468350582995
356,-1289.468350582995
357,-1289.468350582995
358,-1289.468350582995
359,-1289.468350582995
360,-1289.468350582995
361,-1289.468350582995
362,-1289.468350582995
363,-1289.468350582995
364,-1289.468350582995
365,-1289.468350582995
366,-1289.468350582995
367,-1289.468350582995
368,-1289.468350582995
369,-1289.468350582995
370,-1289.468350582995
371,-1289.468350582995
372,-1289.468350582995
373,-1289.468350582995
374,-1289.468350582995
375,-1289.468350582995
376,-1289.468350582995
377,-1289.468350582995
378,-1289.468350582995
379,-1289.468350582995
380,-1289.468350582995
381,-1289.468350582995
382,-1289.468350582995
383,-1289.468350582995
384,-1289.468350582995
385,-1289.468350582995
386,-1289.468350582995
387,-1289.468350582995
388,-1289.468350582995
389,-1289.468350582995
390,-1289.468350582995
391,-1289.468350582995
