,IC objective optimistic
85,-0.48090496729212967
86,-0.6996259261513937
87,-0.46786912030516936
88,-0.31170764923744504
89,-0.2630036373425485
90,-0.7630475353697129
91,-0.6924542593738653
92,-0.3977601857887617
93,-0.5371993884517728
94,-0.42397282154104476
95,-0.4778649566181859
96,-0.3901017053616621
97,-0.16100201954959117
98,-0.4994909165576321
99,-0.5243792767083586
100,-0.4522283294629785
101,-0.24073236997257935
102,-0.7513861890368784
103,-0.6253114440562804
104,-0.3008903888558804
105,-0.716405277354757
106,-0.5060411700547857
107,-0.7950324671486693
108,-0.5020480978107353
109,-0.5593921516478464
110,-0.580928743608823
111,-0.594267203410795
112,-0.27372955922809655
113,-0.7794810390023321
114,-0.3531955424040758
115,-0.41937248576099256
116,-0.6831953042789624
117,-0.6754709905558807
118,-0.7206829704055397
119,-0.5105433437385346
120,-0.4103304727975774
121,-0.3609634137105844
122,-1.1630498860716065
123,-0.6985288605489657
124,-0.5055993309584424
125,-0.6505100786944041
126,-1.0524568313856995
127,-0.852688733899117
128,-0.6085090954170413
129,-0.592753976387772
130,-0.44484419135221764
131,-0.4809013281278802
132,-0.5627141288218813
133,-0.5890224106772156
134,-0.6479305144027202
135,-0.3854199400542047
136,-0.756006246317182
137,-0.6794109758772573
138,-0.4412756732936988
139,-0.361195297279969
140,-0.5041740871685565
141,-0.5584457269365419
142,-0.7620050384852043
143,-0.6625265852936023
144,-0.6410038714018856
145,-0.4751063036796406
146,-0.3394228418114672
147,-0.8271325104087947
148,-0.5788965509566125
149,-0.3454024952579054
150,-0.3732972561569517
151,-0.8587910710616463
152,-0.5871327716931095
153,-0.42508637814778194
154,-0.6263443231403295
155,-0.8082879359349971
156,-0.5158429333837243
157,-0.429127884126073
158,-0.7072319659507135
159,-0.695668412806409
160,-0.49619801292126525
161,-0.9059958685228027
162,-0.5230177504690104
163,-1.039307068431047
164,-0.60225616010875
165,-0.7388502608473194
166,-0.966031596685417
167,-0.48022651263373545
168,-0.6892051796593264
169,-0.8377169347932562
170,-0.36059310482276047
171,-0.4251637548528718
172,-0.7618793950984495
173,-0.6467801467312857
174,-0.4381396476532648
175,-0.7691711469553236
176,-0.33819292960400893
177,-0.5060475679634898
178,-0.6093453971311417
179,-0.5563814232437243
180,-0.6326294776345991
181,-0.5742777170921545
182,-0.6531866305548776
183,-0.8494900367897682
184,-0.4775505874149144
185,-0.6690893520466061
186,-0.7262188041503173
187,-0.6413857585166806
188,-0.4744575388939295
189,-0.5691065433113656
190,-0.7325402636932655
191,-0.5088410010510092
192,-0.5410765964446906
193,-0.728102435771456
194,-0.9782107634073124
195,-0.5591317034227582
196,-0.6571355967299909
197,-0.8024661572162336
198,-0.5787768167224082
199,-0.6612226633221295
200,-0.7639375809361632
201,-0.5038235260612299
202,-0.47954172168792486
203,-0.7441994392591462
204,-0.42752746523825313
205,-0.8000093930382046
206,-0.4942463226965562
207,-0.5967681589622353
208,-0.4741175176394925
209,-0.5590240070362663
210,-0.6825542002618621
211,-0.6829732692524296
212,-0.561726054918193
213,-0.28642382053787263
214,-0.9530924353910948
215,-0.6250384658835061
216,-0.7639166276885273
217,-0.5386570014986151
218,-0.48033956884717444
219,-1.100408155018786
220,-0.7821308305920492
221,-0.6314465241799684
222,-0.42506754515883965
223,-1.0051521982146507
224,-0.514883229137853
225,-0.8591385875181144
226,-0.6331289075943644
227,-0.7138332457603569
228,-0.5134109329074159
229,-0.5997388759612142
230,-0.5548757454500369
231,-0.6061072703864417
232,-0.648940141912374
233,-0.9251582260445073
234,-0.7162990767221973
235,-0.5866745493161943
236,-0.6161137225843338
237,-0.5915565020072695
238,-0.398130011046239
239,-0.9498833544343923
240,-0.47137370894441166
241,-0.4824305900530884
242,-0.6197107405833303
243,-0.707262819383193
244,-0.9071970556039339
245,-0.553890875498939
246,-0.6740259840575455
247,-0.7359542437732202
248,-0.5421928857810604
249,-0.49287674324833247
250,-0.47361304741744203
251,-0.489859076115085
252,-0.5024048265420324
253,-0.44106346857553197
254,-0.6848266709495672
255,-0.6999462774469428
256,-0.5377498786595197
257,-0.2208590866701332
258,-0.43785107003205653
259,-0.19842657755805412
260,-0.509049937784554
261,-0.6228747835413155
262,-0.3849260463631908
263,-0.544657340855926
264,-0.7618399635519999
265,-0.5047745682694336
266,-0.817811048462099
267,-0.7286882423531436
