,IC objective incomplete normal
77,-1.0405893947402444e-08
78,-3.35719206675458e-08
79,-8.275541026795196e-09
80,-3.620586151151968e-07
81,-2.1530914745117508e-07
82,-1.1027160574898068e-08
83,-1.4231056440006696e-08
84,-5.29271175259538e-09
85,-1.893548206270167e-08
86,-1.4591191221215202e-09
87,-1.3440493535290645e-08
88,-7.311562990946899e-09
89,-1.4774915363633555e-07
90,-1.953201617043261e-09
91,-6.403728386592342e-09
92,-5.941642244984943e-09
93,-3.2817108819062076e-08
94,-2.773754683479001e-08
95,-1.2111227516210745e-08
96,-2.9376686558832675e-08
97,-1.1049529932871711e-08
98,-3.0861690569882394e-09
99,-2.9826034385615052e-09
100,-1.146126922483508e-08
101,-2.014286986762947e-07
102,-1.4479869231863865e-08
103,-5.444533767051417e-09
104,-2.010428256756625e-09
105,-2.6121489744152186e-08
106,-2.874992931055456e-09
107,-6.5130403183586076e-09
108,-2.0397965884217625e-08
109,-1.0803051773417025e-08
110,-1.9737902253716123e-08
111,-3.2985801301178666e-08
112,-9.119787987681398e-08
113,-7.831899136883192e-08
114,-2.29770258565668e-08
115,-2.994006095252531e-09
116,-7.427848108919771e-09
117,-3.066028256751817e-08
118,-6.141592685764557e-09
119,-2.4633487653626886e-08
120,-3.811462006117188e-08
121,-8.48581249824497e-09
122,-1.2556525163508504e-08
123,-1.867399117835767e-08
124,-8.742704093343826e-09
125,-3.760797994128268e-09
126,-2.991117948129375e-09
127,-9.407855283908181e-09
128,-5.054790069595662e-09
129,-8.53179915232376e-09
130,-1.1956007667917823e-07
131,-4.548585116554752e-09
132,-3.19813981164129e-09
133,-1.3095577277341625e-08
134,-1.70701724638008e-08
135,-2.3152756221089784e-07
136,-7.368684081044668e-09
137,-7.951720403155869e-09
138,-1.2052851967316163e-07
139,-3.454175571408192e-09
140,-8.589201313897119e-09
141,-7.75550643085826e-09
142,-4.415386756442171e-07
143,-1.4767073151297517e-08
144,-1.2137745108598732e-08
145,-5.131037697612421e-08
146,-2.0008261697806012e-07
147,-8.589217305262062e-08
148,-1.1063924123892837e-08
149,-5.462593519293043e-08
150,-8.714011845645097e-08
151,-4.146764592898891e-09
152,-4.697893656804283e-09
153,-6.980166362801087e-09
154,-5.016903150000603e-09
155,-2.0877918484562986e-08
156,-3.4950775914670015e-08
157,-3.880059808022611e-09
158,-1.5207916001490505e-07
159,-4.9710415875319305e-08
160,-4.190465292151352e-08
161,-2.559521357471305e-07
162,-1.1313653188161346e-08
163,-6.45501474998527e-08
164,-3.0865795296359276e-08
165,-1.9935331992726786e-08
166,-4.1074362474329336e-09
167,-6.266828384041597e-09
168,-1.0829488953923144e-08
169,-4.4578977109340685e-09
170,-7.452204535432828e-09
171,-1.9371137706314354e-08
172,-7.114201352685445e-09
173,-2.1321771383700827e-08
174,-6.29188761056647e-09
175,-4.184906524070833e-09
176,-5.869008176663457e-09
177,-1.565712508756711e-08
178,-1.7173969792004352e-08
179,-6.300357905644767e-09
180,-1.106055398935441e-08
181,-3.6060955123337774e-09
182,-1.070096794937325e-08
183,-5.5734666792988766e-08
184,-2.2435896668867944e-08
185,-2.1515861570944807e-07
186,-1.6524143963668162e-08
187,-5.376391895386762e-08
188,-1.7208223812565627e-08
189,-9.415270888157674e-09
190,-1.3452064616509956e-07
191,-1.3002604511746916e-07
192,-1.7249451593277663e-07
193,-3.2688497952863256e-09
194,-4.107847776351966e-09
195,-1.8873165294792726e-07
196,-4.3584722888426673e-08
197,-3.014588385101984e-09
198,-1.2024188330213402e-08
199,-8.582902376278305e-08
200,-1.4558380192061445e-09
201,-7.254023920047835e-08
202,-1.33219228556404e-07
203,-8.856623400017169e-08
204,-5.032593220212648e-09
205,-2.1928547755423848e-08
206,-6.702841356068725e-08
207,-1.1439334618278456e-07
208,-8.498396381213392e-08
209,-4.247762236716737e-08
210,-1.2003845515312907e-07
211,-6.348716110428314e-08
212,-1.0612568377223241e-08
213,-2.1447521827375742e-08
214,-1.2383643733188788e-08
215,-1.7110735384351668e-09
216,-1.1103043238715433e-08
217,-1.3523312389504215e-08
218,-1.0884345912483028e-08
219,-1.078335641228912e-08
220,-2.822560326254012e-09
221,-3.734643939401333e-08
222,-1.4629890887183638e-08
