,IC objective only_IC_PBP
170,-1.1429617077736498
171,-0.9302126345264995
172,-0.9998911471735991
173,-1.7740708649037065
174,-1.2935920461297952
175,-0.8722003057802928
176,-1.706210252166174
177,-1.4182797867769508
178,-2.1131586208266175
179,-1.8383138122092488
180,-1.6426985996407137
181,-1.3560561134850995
182,-0.9307453933328985
183,-1.2106425020547003
184,-1.9775863079812854
185,-1.179416401778585
186,-2.104628219982209
187,-0.8911455864475618
188,-2.0563836869964036
189,-0.7720403153231031
190,-1.4538774871437192
191,-1.2327224149772813
192,-1.4677830552644218
193,-1.7854106006232693
194,-1.3560541694991328
195,-2.0658202260013367
196,-0.641572607055256
197,-1.7382391490310145
198,-2.228576779221068
199,-0.8002063916582627
200,-1.3418810953678593
201,-2.0547098065770615
202,-2.3720121960449374
203,-1.6250748206282255
204,-1.6799886651867866
205,-2.03088158137204
206,-1.5227114371438593
207,-1.4527911154672266
208,-0.976920562579698
209,-1.0546419791601371
210,-1.6139270442571758
211,-1.3505358761021602
212,-0.9598058172947235
213,-1.3578117094920326
214,-2.603262598751173
215,-1.243309294069842
216,-1.9364743664745903
217,-1.1980115600078305
218,-1.8713385846183535
219,-1.858750182887774
220,-1.2716642414041237
221,-1.9880458123920022
222,-0.8213511634956102
223,-0.8932491482469075
224,-1.8449845670070248
225,-1.0717756373103875
226,-1.3694189120789313
227,-0.9683979705088266
228,-1.5336852803111352
229,-1.1717966492839171
230,-1.4938465219167543
231,-1.243943617235754
232,-2.0761729769874813
233,-1.6642354051536905
234,-0.7132928053721158
235,-0.7851933971362203
236,-1.5164576914907852
237,-1.5163965550395775
238,-0.8452496144673356
239,-2.0091642419565523
240,-1.2455232705025794
241,-1.6458742076601245
242,-1.3120262079511313
243,-1.9277877479312246
244,-1.4558259104283744
245,-1.3887389324509185
246,-1.845499295330272
247,-1.509125163083672
248,-0.9504305831756757
249,-1.7377979067860172
250,-1.0517848206643763
251,-2.3519850134528184
252,-1.3381450984331402
253,-1.6623218846879821
