date,time,air1,clotheswasher1,dishwasher1,dryg1,furnace1,grid,microwave1,oven1,refrigerator1,solar,demand,difference
2018-01-02,05:15:00,-0.001,0.001,0.001,0.001,0.187,0.402,0.003,0.007,0.072,-0.005,0.271,0.126
2018-01-02,05:30:00,-0.001,0.001,0.002,0.001,0.345,0.485,0.003,0.007,0.004,-0.005,0.362,0.118
2018-01-02,05:45:00,-0.001,0.001,0.002,0.001,0.338,0.479,0.003,0.007,0.004,-0.005,0.35500000000000004,0.11899999999999994
2018-01-02,06:00:00,0.0,0.001,0.001,0.001,0.104,0.266,0.003,0.008,0.017,-0.006,0.135,0.125
2018-01-02,06:15:00,-0.002,0.001,0.002,0.001,0.405,0.673,0.003,0.006,0.134,-0.004,0.55,0.119
2018-01-02,06:30:00,-0.002,0.001,0.001,0.001,0.278,0.5,0.003,0.006,0.087,-0.004,0.375,0.121
2018-01-02,06:45:00,-0.001,0.001,0.001,0.001,0.15,0.293,0.003,0.007,0.003,-0.005,0.165,0.12299999999999997
2018-01-02,07:00:00,-0.001,0.001,0.002,0.001,0.42,0.556,0.003,0.006,0.004,-0.004,0.436,0.11600000000000005
2018-01-02,07:15:00,-0.001,0.001,0.001,0.001,0.218,0.378,0.003,0.007,0.017,-0.005,0.247,0.126
2018-01-02,07:30:00,-0.002,0.001,0.002,0.001,0.302,0.549,0.003,0.006,0.118,-0.007,0.431,0.11100000000000004
2018-01-02,07:45:00,-0.002,0.001,0.002,0.0,0.405,0.903,0.003,0.006,0.005,0.005,0.42000000000000004,0.488
2018-01-02,08:00:00,-0.003,0.001,0.003,0.002,0.566,0.862,0.003,0.005,0.004,0.042,0.581,0.32300000000000006
2018-01-02,08:15:00,-0.003,0.001,0.003,0.002,0.565,0.874,0.003,0.005,0.004,0.028,0.58,0.32200000000000006
2018-01-02,08:30:00,-0.003,0.001,0.003,0.002,0.564,0.933,0.003,0.004,0.097,0.059,0.6709999999999999,0.32100000000000006
2018-01-02,08:45:00,-0.004,0.001,0.003,0.002,0.563,1.072,0.065,0.004,0.131,0.108,0.7649999999999999,0.41500000000000026
2018-01-02,09:00:00,-0.003,0.001,0.003,0.002,0.562,0.847,0.003,0.005,0.013,0.158,0.5860000000000001,0.4189999999999998
2018-01-02,09:15:00,-0.002,0.001,0.002,0.001,0.404,0.72,0.003,0.006,0.004,0.235,0.41900000000000004,0.5359999999999999
2018-01-02,09:30:00,-0.001,0.067,0.002,0.002,0.225,0.502,0.003,0.006,0.005,0.349,0.30900000000000005,0.5419999999999999
2018-01-02,09:45:00,-0.002,0.118,0.011,0.002,0.258,0.619,0.003,0.005,0.105,0.434,0.5,0.5529999999999999
2018-01-02,10:00:00,-0.002,0.251,0.006,0.002,0.2,0.663,0.003,0.005,0.061,0.474,0.526,0.611
2018-01-02,10:15:00,-0.001,0.0,0.001,0.286,0.156,0.769,0.003,0.006,0.004,0.502,0.45499999999999996,0.816
2018-01-02,10:30:00,-0.001,0.001,0.001,0.303,0.153,0.96,0.003,0.006,0.007,0.475,0.473,0.9620000000000001
2018-01-02,10:45:00,-0.002,0.001,0.002,0.282,0.221,1.046,0.003,0.006,0.06,0.511,0.573,0.984
2018-01-02,11:00:00,-0.002,0.001,0.005,0.219,0.261,1.046,0.003,0.005,0.133,0.572,0.625,0.9929999999999999
2018-01-02,11:15:00,-0.002,0.001,0.0,0.001,0.181,0.534,0.003,0.005,0.07,0.615,0.259,0.89
2018-01-02,11:30:00,-0.002,0.001,-0.001,0.001,0.218,0.452,0.003,0.004,0.003,0.619,0.227,0.844
2018-01-02,11:45:00,-0.002,0.001,-0.001,0.001,0.244,0.472,0.003,0.004,0.003,0.671,0.253,0.89
2018-01-02,12:00:00,-0.003,0.001,0.0,0.001,0.371,0.7,0.003,0.003,0.065,0.647,0.441,0.9059999999999999
2018-01-02,12:15:00,0.0,0.001,0.001,0.001,0.312,-0.006,0.003,0.006,0.093,0.71,0.41700000000000004,0.2869999999999999
2018-01-02,12:30:00,0.0,0.001,0.0,0.001,0.097,-0.081,0.003,0.007,0.003,0.648,0.112,0.45500000000000007
2018-01-02,12:45:00,0.0,0.001,0.001,0.001,0.294,-0.121,0.003,0.007,0.004,0.561,0.311,0.12900000000000006
2018-01-02,13:00:00,0.0,0.001,0.003,0.001,0.569,0.156,0.003,0.006,0.014,0.539,0.597,0.09800000000000009
2018-01-02,13:15:00,0.0,0.0,0.003,0.001,0.566,0.279,0.003,0.005,0.134,0.533,0.712,0.10000000000000009
2018-01-02,13:30:00,0.0,0.0,0.002,0.001,0.453,0.15,0.003,0.006,0.096,0.519,0.561,0.10799999999999998
2018-01-02,13:45:00,0.0,0.001,0.001,0.001,0.288,0.058,0.003,0.007,0.004,0.45,0.305,0.203
2018-01-02,14:00:00,-0.001,0.0,0.001,0.002,0.266,0.217,0.003,0.007,0.021,0.402,0.29900000000000004,0.31999999999999995
2018-01-02,14:15:00,-0.001,0.0,0.002,0.002,0.285,0.252,0.003,0.006,0.112,0.389,0.409,0.23200000000000004
2018-01-02,14:30:00,0.0,0.0,0.002,0.002,0.222,0.251,0.003,0.006,0.085,0.3,0.32,0.23099999999999993
2018-01-02,14:45:00,0.0,0.0,0.001,0.002,0.174,0.183,0.003,0.007,0.003,0.24,0.19,0.23299999999999998
2018-01-02,15:00:00,0.0,0.0,0.001,0.002,0.169,0.206,0.003,0.007,0.003,0.213,0.18500000000000003,0.23399999999999996
2018-01-02,15:15:00,-0.002,0.001,0.002,0.001,0.27,0.827,0.003,0.006,0.022,0.185,0.30300000000000005,0.709
2018-01-02,15:30:00,-0.003,0.001,0.002,0.0,0.216,0.995,0.003,0.005,0.134,0.117,0.358,0.7540000000000001
2018-01-02,15:45:00,-0.003,0.001,0.006,0.0,0.159,0.932,0.003,0.006,0.057,0.077,0.229,0.7800000000000001
2018-01-02,16:00:00,-0.003,0.001,0.002,0.0,0.153,0.933,0.003,0.006,0.007,0.046,0.169,0.81
2018-01-02,16:15:00,-0.003,0.001,0.002,0.0,0.201,0.973,0.003,0.006,0.01,0.059,0.22000000000000003,0.812
2018-01-02,16:30:00,-0.007,0.001,0.002,0.0,0.227,2.02,0.003,0.813,0.102,-0.013,1.141,0.8660000000000001
2018-01-02,16:45:00,-0.005,0.001,0.001,-0.001,0.01,1.73,0.003,0.293,0.149,-0.026,0.45099999999999996,1.2530000000000001
2018-01-02,17:00:00,-0.003,0.001,0.001,0.0,0.01,1.056,0.003,0.012,0.109,-0.028,0.133,0.895
2018-01-02,17:15:00,-0.002,0.001,0.0,0.0,0.01,0.969,0.003,0.006,0.01,-0.028,0.028,0.9129999999999999
